trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.01, 'e': 0.21704489667280757}",30,22,17.006596162043078,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.2148744477060795}",25,14,6.255406465401423,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.2127257032290187}",20,12,11.137838674428306,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.21059844619672852}",25,17,10.593213368820985,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.20849246173476124}",30,0,-94.59541877536333,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
157,False,"{'a': 0.01, 'e': 0.2064075371174136}",30,16,24.59325749761224,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.2043434617462395}",25,5,16.73440020094105,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.2023000271287771}",20,9,20.12657788160331,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.2002770268574893}",25,4,7.437130282334647,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.19827425658891443}",20,14,11.183506527215046,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19629151402302528}",25,0,-42.16857168301456,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
163,False,"{'a': 0.01, 'e': 0.19432859888279502}",20,13,11.204403726827069,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19238531289396707}",25,9,13.558777543865498,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.1904614597650274}",20,8,-64.0938190689879,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
166,False,"{'a': 0.01, 'e': 0.1885568451673771}",20,0,-4.366759182527171,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.01, 'e': 0.18667127671570335}",20,14,8.945880305976061,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.1848045639485463}",20,0,31.97245174263559,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.01, 'e': 0.18295651830906084}",20,12,13.475050849362601,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18112695312597024}",20,7,20.048251048828188,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.17931568359471053}",30,18,1.7360430539443994,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17752252675876343}",30,19,18.79191690029839,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.1757473014911758}",25,5,7.9766957346654,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.173989828476264}",20,2,28.27183971130207,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.1722499301915014}",25,13,10.899269017409637,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17052743088958636}",20,4,-56.99959410370536,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
177,False,"{'a': 0.01, 'e': 0.1688221565806905}",30,13,31.214109465315783,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
